kernel,N,frac,t_total_ms,t_cpu_ms,t_gpu_ms,gflops
gemm,2048,0.0000,362.2374,362.2371,0.0000,47.43
gemm,2048,0.1000,326.4248,326.3870,0.9345,52.63
gemm,2048,0.2000,295.4708,295.4377,1.7723,58.14
gemm,2048,0.3000,253.5025,253.4580,2.6044,67.77
gemm,2048,0.4000,224.1542,224.1182,3.4382,76.64
gemm,2048,0.5000,181.9906,181.9618,4.2407,94.40
gemm,2048,0.6000,152.0561,152.0060,5.0933,112.98
gemm,2048,0.7000,112.8560,112.8203,5.9048,152.23
gemm,2048,0.7500,98.5768,98.5486,6.2998,174.28
gemm,2048,0.8000,78.3462,78.3038,6.7459,219.28
gemm,2048,0.8500,62.3949,62.3600,7.1450,275.34
gemm,2048,0.9000,44.1647,44.1168,7.5676,389.00
gemm,2048,0.9500,27.1504,27.1214,7.9626,632.77
gemm,2048,1.0000,8.4033,0.0000,8.3568,2044.41
