kernel,H,W,frac,t_total_ms,t_cpu_ms,t_gpu_ms,gbps
stencil,8192,8192,0.0000,72.2623,72.2621,0.0000,7.43
stencil,8192,8192,0.1000,69.7967,69.7697,4.6910,7.69
stencil,8192,8192,0.2000,66.2089,66.1828,9.3314,8.11
stencil,8192,8192,0.3000,63.2845,63.2599,26.0075,8.48
stencil,8192,8192,0.4000,56.3541,56.3194,26.0075,9.53
stencil,8192,8192,0.5000,48.5198,48.4845,26.0032,11.06
stencil,8192,8192,0.6000,43.8491,43.8195,27.8793,12.24
stencil,8192,8192,0.6500,51.9729,37.5293,30.2039,10.33
stencil,8192,8192,0.7000,53.9978,34.7566,32.5232,9.94
stencil,8192,8192,0.7500,53.0332,29.0706,34.8482,10.12
stencil,8192,8192,0.8000,52.9326,24.6725,37.1302,10.14
stencil,8192,8192,0.8500,51.1534,12.3907,39.4746,10.50
stencil,8192,8192,0.9000,50.4579,8.7027,41.8081,10.64
stencil,8192,8192,0.9500,50.4206,6.2665,44.1182,10.65
stencil,8192,8192,1.0000,46.4872,0.0001,46.4312,11.55
